Episode ID,Video ID,Youtube URL,主题,博主,Channel URL,Start Timestamp,Comment
1,rVH3SNicRKU,https://www.youtube.com/watch?v=rVH3SNicRKU&t=282s,天气季节,Sydney Serena,https://www.youtube.com/@SydneySerena,t=282s,
2,q0wcgaEHxbQ,https://www.youtube.com/watch?v=q0wcgaEHxbQ,运动健身,Jay Swanson,https://www.youtube.com/@JaySwanson,,
,ZJL7pBubnNM,https://www.youtube.com/watch?v=ZJL7pBubnNM&t=431s,美食烹饪,GAINSBYBRAINS,https://www.youtube.com/@GAINSBYBRAINS,,
,,https://www.youtube.com/watch?v=ywXTHD6sLEI,日常感想/趣事,Sydney Serena,https://www.youtube.com/@SydneySerena,,
,,https://www.youtube.com/watch?v=35E6CJ084ug&t=598s,化妆服装,Hannah Elise,https://www.youtube.com/@HannahElise,,
6,,https://www.youtube.com/watch?v=rVH3SNicRKU&t=282s,学习工作,Sydney Serena,https://www.youtube.com/@SydneySerena,,
7,复习,,复习课,请前往上一周对应期数（Episode 1-6）寻找哦,,,
8,,https://www.youtube.com/watch?v=cjiD_MeWGfk&t=2s,日常感想/趣事,Birta Hlin,https://www.youtube.com/@birtahlin,,
9,,https://www.youtube.com/watch?v=hPuJp1yXbpg,运动健身,PINGSUNDAY,https://www.youtube.com/@pingsunday,,
10,,https://www.youtube.com/watch?v=4zxSLiXBfRU,日常感想/趣事,Birta Hlin,https://www.youtube.com/@birtahlin,,
11,,https://www.youtube.com/watch?v=cjiD_MeWGfk&t=2s,"美食烹饪,天气季节",Birta Hlin,,,和E8 同一个视频 是不是放错链接了？ 
12,,https://www.youtube.com/watch?v=shhYInOrLws,化妆服装,Sydney Serena,https://www.youtube.com/@SydneySerena,,
13,,https://www.youtube.com/watch?v=shhYInOrLws,日常感想/趣事,Sydney Serena,https://www.youtube.com/@SydneySerena,,
14,复习,,复习课,请前往上一周对应期数（Episode 8-13）寻找哦,,,
15,,https://www.youtube.com/watch?v=0UR8G81E_Wk,美食烹饪,ur mom ashley,https://www.youtube.com/@urmomashley,,
16,,https://www.youtube.com/watch?v=33bZIOLX4do,美食烹饪,Joel Friend,https://www.youtube.com/@Joelfriend,,
17,,https://www.youtube.com/watch?v=9NEZ09ZhAfM&feature=youtu.be,日常感想/趣事,Birta Hlin,https://www.youtube.com/@birtahlin,,
,,https://www.youtube.com/watch?v=oo3S64DXhfw&t=214s,化妆服装,Amy Cheah,,,
,,https://www.youtube.com/watch?v=oo3S64DXhfw&t=321s,学习工作,Amy Cheah,,,
,,https://www.youtube.com/watch?v=4AwKAHib_nc,化妆服装,Sydney Serena,,,
,,请前往上一周对应期数（Episode 15-20）寻找哦,复习课,请前往上一周对应期数（Episode 15-20）寻找哦,,,
,,https://www.youtube.com/watch?v=4AwKAHib_nc,化妆服装,Sydney Serena,,,
,,https://www.youtube.com/watch?si=uDwnWXot1BKe8RCq&v=cJhEDmxg6qk&feature=youtu.be,日常感想/趣事,Birta Hlin,,,
,,https://www.youtube.com/watch?v=Z_DbR49ITVA,天气季节,Unstoppable Weather,,,
,,https://www.youtube.com/watch?v=2q1ZfMfkNjg&t=1227s,化妆服装,Kenna Marie,,,
,,https://www.youtube.com/watch?v=oWSCRHmnChc&t=3s,日常感想/趣事,Sydney Serena,,,
,,https://www.youtube.com/watch?v=oWSCRHmnChc&t=3s,日常感想/趣事,Sydney Serena,,,
,,请前往上一周对应期数（Episode 22-27）寻找哦,复习课,请前往上一周对应期数（Episode 22-27）寻找哦,,,
,,https://www.youtube.com/watch?v=oWSCRHmnChc&t=3s,美食烹饪,Sydney Serena,,,
,,https://www.youtube.com/watch?v=doadE9JDyJs&t=303s,日常感想/趣事,MissKatie,,,
,,https://www.youtube.com/watch?v=9irJwEylNoU,日常感想/趣事,Katharina Schneider,,,
,,https://www.youtube.com/watch?v=20efEGXwE5I,日常感想/趣事,Anna Neubert,,,
,,https://www.youtube.com/watch?v=gYYIthi2Dkc,日常感想/趣事,Sydney Serena,,,
,,https://www.youtube.com/watch?v=IWJa2v1F2G8,运动健身,DAISYB,,,
,,请前往上一周对应期数（Episode 28-34）寻找哦,复习课,请前往上一周对应期数（Episode 28-34）寻找哦,,,
,,https://www.youtube.com/watch?v=NpYa_w7WMXc,美食烹饪,alia zaita,,,
,,https://www.youtube.com/watch?v=EvOWGRLnQQA,美食烹饪,Sanne Vloet,,,
,,https://www.youtube.com/watch?v=4PLo0x7dFHc,运动健身,Morgan Venn,,,
,,https://www.youtube.com/watch?v=v-4n_2mVKWs,学习工作,Ruby Granger,,,
,,https://www.youtube.com/watch?v=EvOWGRLnQQA,日常感想/趣事,Sanne Vloet,,,
,,https://www.youtube.com/watch?v=9irJwEylNoU,学习工作,Katharina Schneider,,,
,,请前往上一周对应期数（Episode 36-41）寻找哦,复习课,请前往上一周对应期数（Episode 36-41）寻找哦,,,
,,https://www.youtube.com/watch?v=yGyrJZuOf7o,学习工作,Mia Aston,,,
,,https://www.youtube.com/watch?v=yGyrJZuOf7o,美食烹饪,Mia Aston,,,
,,https://www.youtube.com/watch?v=EvOWGRLnQQA,日常感想/趣事,Sanne Vloet,,,
,,https://www.youtube.com/watch?v=OC6Nx5QRnOc,"学习工作,天气季节",Katharina Schneider,,,
,,https://www.youtube.com/watch?v=gZg3MHEL258,美食烹饪,Sydney Serena,,,
,,https://www.youtube.com/watch?v=_cdSWl3HXDU,日常感想/趣事,Anna Neubert,,,
